State,Year,Category,Value
Negeri Sembilan,2018,Waste management,32641
Negeri Sembilan,2019,Waste management,28806
Negeri Sembilan,2020,Waste management,22066
Negeri Sembilan,2021,Waste management,24222
Pahang,2017,Waste management,30809
Pahang,2018,Waste management,79293
Pahang,2019,Waste management,14296
Pahang,2020,Waste management,12148
Pahang,2021,Waste management,20844
Perak,2017,Waste management,25181
Perak,2018,Waste management,17406
Perak,2019,Waste management,20529
Perak,2020,Waste management,28551
Perak,2021,Waste management,31288
Perlis,2017,Waste management,1499
Perlis,2018,Waste management,1457
Perlis,2019,Waste management,997
Perlis,2020,Waste management,1304
Perlis,2021,Waste management,2025
Penang,2017,Waste management,165876
Penang,2018,Waste management,115968
Penang,2019,Waste management,57054
Penang,2020,Waste management,91971
Penang,2021,Waste management,78889
Sabah,2017,Waste management,29569
Sabah,2018,Waste management,22013
Sabah,2019,Waste management,19689
Sabah,2020,Waste management,19961
Sabah,2021,Waste management,21818
Sarawak,2017,Waste management,60945
Sarawak,2018,Waste management,22013
Sarawak,2019,Waste management,90865
Sarawak,2020,Waste management,85902
Sarawak,2021,Waste management,84967
Selangor,2017,Waste management,184715
Selangor,2018,Waste management,136923
Selangor,2019,Waste management,174370
Selangor,2020,Waste management,192452
Selangor,2021,Waste management,184977
Terengganu,2017,Waste management,26977
Terengganu,2018,Waste management,19475
Terengganu,2019,Waste management,21331
Terengganu,2020,Waste management,22070
Terengganu,2021,Waste management,32338
W.P. Kuala Lumpur,2017,Waste management,43155
W.P. Kuala Lumpur,2018,Waste management,85935
W.P. Kuala Lumpur,2019,Waste management,103730
W.P. Kuala Lumpur,2020,Waste management,68125
W.P. Kuala Lumpur,2021,Waste management,77863
W.P. Labuan,2017,Waste management,1439
W.P. Labuan,2018,Waste management,5681
W.P. Labuan,2019,Waste management,822
W.P. Labuan,2020,Waste management,912
W.P. Labuan,2021,Waste management,1641
W.P. Putrajaya,2017,Waste management,3189
W.P. Putrajaya,2018,Waste management,1755
W.P. Putrajaya,2019,Waste management,169
W.P. Putrajaya,2020,Waste management,205
W.P. Putrajaya,2021,Waste management,262
Johor,2017,Other,15878
Johor,2018,Other,6252
Johor,2019,Other,16856
Johor,2020,Other,2402
Johor,2021,Other,3535
Kedah,2017,Other,774
Kedah,2018,Other,346
Kedah,2019,Other,567
Kedah,2020,Other,194
Kedah,2021,Other,606
Kelantan,2017,Other,903
Kelantan,2018,Other,78
Kelantan,2019,Other,43
Kelantan,2020,Other,91
Kelantan,2021,Other,112
Melaka,2017,Other,2250
Melaka,2018,Other,691
Melaka,2019,Other,1975
Melaka,2020,Other,264
Melaka,2021,Other,328
Negeri Sembilan,2017,Other,943
Negeri Sembilan,2018,Other,574
Negeri Sembilan,2019,Other,1470
Negeri Sembilan,2020,Other,794
Negeri Sembilan,2021,Other,815
Pahang,2017,Other,1325
Pahang,2018,Other,524
Pahang,2019,Other,560
Pahang,2020,Other,700
Pahang,2021,Other,711
Perak,2017,Other,1842
Perak,2018,Other,659
Perak,2019,Other,1086
Perak,2020,Other,1150
Perak,2021,Other,1251
Perlis,2017,Other,60
Perlis,2018,Other,835
Perlis,2019,Other,30
Perlis,2020,Other,4
Perlis,2021,Other,4
Penang,2017,Other,4296
Penang,2018,Other,1343
Penang,2019,Other,1443
Penang,2020,Other,1740
Penang,2021,Other,1465
Sabah,2017,Other,2980
Sabah,2018,Other,1150
Sabah,2019,Other,1777
Sabah,2020,Other,2987
Sabah,2021,Other,2748
Sarawak,2017,Other,5415
Sarawak,2018,Other,1150
Sarawak,2019,Other,3497
Sarawak,2020,Other,858
Sarawak,2021,Other,2222
Selangor,2017,Other,10692
Selangor,2018,Other,13118
Selangor,2019,Other,4843
Selangor,2020,Other,2858
Selangor,2021,Other,1626
Terengganu,2017,Other,7303
Terengganu,2018,Other,726
Terengganu,2019,Other,1435
Terengganu,2020,Other,363
Terengganu,2021,Other,1111
W.P. Kuala Lumpur,2017,Other,16586
W.P. Kuala Lumpur,2018,Other,8485
W.P. Kuala Lumpur,2019,Other,5389
W.P. Kuala Lumpur,2020,Other,2772
W.P. Kuala Lumpur,2021,Other,2742
W.P. Labuan,2017,Other,11
W.P. Labuan,2018,Other,15
W.P. Labuan,2019,Other,6
W.P. Labuan,2020,Other,null
W.P. Labuan,2021,Other,null
W.P. Putrajaya,2017,Other,487
W.P. Putrajaya,2018,Other,14
W.P. Putrajaya,2019,Other,null
W.P. Putrajaya,2020,Other,null
W.P. Putrajaya,2021,Other,5
